	coach	race	mu	phi	value
10055	shuran	Humans	1396.362	201.438	892.767
2085	Elfman	Wood Elves	1354.903	184.858	892.758
11586	Tatsujin	Humans	1240.828	139.241	892.7255
165073	mamok	Nurgle's Rotters	1304.608	164.781	892.6555
66902	Chops	Chaos Dwarves	1286.421	157.519	892.6235
120712	Geoffro	Chaos	1318.052	170.178	892.607
130265	Pichuleante	Goblins	1330.231	175.056	892.5909999999999
63360	Aristodeimos	Dwarves	1500.0	242.966	892.585
188449	Lorgar	Vampires	1500.0	242.966	892.585
7167	SirKently	Wood Elves	1410.887	207.34	892.5369999999999
93120	Maru	High Elves	1389.839	198.936	892.4989999999999
2544	Sir_gorash	Wood Elves	1323.883	172.561	892.4805
1442	BLUEWING711	Wood Elves	1421.468	211.597	892.4755
104685	Osgagu	Halflings	1213.408	128.396	892.4179999999999
143389	PetitePoire	Necromantic	1315.995	169.445	892.3824999999999
106306	glacius000	Halflings	1382.664	196.122	892.3589999999999
187739	HellsKnights	Vampires	1309.168	166.725	892.3554999999999
169412	EvilGit	Nurgle's Rotters	1356.476	185.666	892.3110000000001
177547	Phags	Ogres	1294.48	160.881	892.2775
13444	drakenmoor_defilers	Humans	1416.237	209.597	892.2445
60802	Prestamos	Dwarves	1416.237	209.597	892.2445
5126	capopik	Wood Elves	1485.049	237.132	892.2189999999999
149392	Necro	Elves	1270.552	151.343	892.1945
85889	Gilthanas	Dark Elves	1327.737	174.234	892.152
138089	riper	Necromantic	1404.032	204.759	892.1344999999999
84955	floyd	Dark Elves	1221.687	131.822	892.1319999999998
49858	Kmlorenz	Skaven	1310.662	167.421	892.1095
28173	Nuffles_Pimp	Orc	1317.151	170.02	892.1010000000001
120694	tiguitare	Chaos	1465.218	229.255	892.0805
15085	Wisefool	Humans	1340.057	179.193	892.0745
103355	Dbabal	Halflings	1412.374	208.124	892.0640000000001
153157	NosPatris	Elves	1380.414	195.354	892.029
32949	Miguelillo_6	Orc	1267.664	150.274	891.979
75594	TMOD	Lizardmen	1390.323	199.339	891.9755000000001
126073	balder	Chaos	1362.515	188.217	891.9725000000001
109819	Quetzal	Amazons	1394.873	201.163	891.9655
48719	distractedsatrap	Skaven	1416.7	209.911	891.9225
209411	C3PO	Underworld	1270.109	151.29	891.884
203410	el_vagabundo	Chaos Pact	1330.551	175.468	891.881
120872	razer	Chaos	1392.159	200.116	891.8690000000001
128437	hluot	Goblins	1447.736	222.356	891.8460000000001
52266	ListenRaich	Skaven	1478.611	234.712	891.8310000000001
146039	Le_Chat_Noir	Elves	1404.091	204.906	891.8259999999999
51335	Drmetalurgico	Skaven	1292.715	160.362	891.81
35376	gerardmonster	Orc	1486.382	237.845	891.7695000000001
135519	Roller	Goblins	1401.277	203.808	891.7570000000001
10153	Lord_darth	Humans	1420.537	211.514	891.752
197833	Scar	Slann	1327.876	174.455	891.7384999999999
48640	skeevers	Skaven	1293.886	160.869	891.7135
19956	Psycho	Undead	1302.942	164.503	891.6845000000001
40335	Timhotep	Norse	1348.491	182.728	891.6709999999999
186503	Pentar	Vampires	1419.069	210.96	891.669
208577	Tyrion90	Chaos Pact	1283.343	156.718	891.5480000000001
58390	air139	Dwarves	1528.721	254.875	891.5335
81602	ABigwood	Lizardmen	1443.553	220.812	891.5230000000001
50453	JyornanTheMad	Skaven	1500.0	243.413	891.4675
130824	JLBrown	Goblins	1354.987	185.409	891.4645
182016	inyector	Vampires	1292.781	160.535	891.4435
